IDText,Text,Text_Merged,Translated_Text
TXT0001,lu mau org prodemokrasi di negara ini bisa punya kesempatan lagi buat ngelawan oligarki di indo pilih amin tpi jangan pilih pks pilih partai buruh jangan pilih prabowo dan semua partai pengusungnya pilih gama tpi jangan pilih pdip pilih partai buruh re debordsbitch,lu mau orang prodemokrasi di negara ini bisa punya kesempatan lagi buat melawan oligarki di indonesia pilih amin tapi jangan pilih pks pilih partai buruh jangan pilih prabowo dan semua partai pengusungnya pilih gama tapi jangan pilih pdip pilih partai buruh re debordsbitch,"You want pro-democracy people in this country to have another chance to fight the oligarchy in Indonesia, choose Amin but don't choose PKS, choose the Labor Party, don't choose Prabowo and all his supporting parties, choose Gama but don't choose PDIP, choose the Labor Party re debordsbitch"
TXT0002,prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter saat orde baru dibantah ganjar hutang luar negeri demi infrastruktur bisa berbahaya btw bajunya ganjar matching dengan tema debat anies menegaskan normal hutang luar negeri yg aman tak lebih dari gdp hutang dipakai menhan membeli alutsista bekas adalah suatu kesiasiaan prabowo tak merespon soal alutsista bekas karena jika membeli baru uang yg dikeluarkan lebih besar re mazzinigsp,prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter saat orde baru dibantah ganjar hutang luar negeri demi infrastruktur bisa berbahaya btw bajunya ganjar matching dengan tema debat anies menegaskan normal hutang luar negeri yang aman tak lebih dari gdp hutang dipakai menhan membeli alutsista bekas adalah suatu kesiasiaan prabowo tak merespon soal alutsista bekas karena jika membeli baru uang yang dikeluarkan lebih besar re mazzinigsp,"Prabowo was asked about foreign debt, he answered that Indonesia's foreign debt is still relatively low and he is not worried about foreign intervention due to debt, such as the monetary crisis during the New Order. Ganjar denied that foreign debt for infrastructure could be dangerous. Btw Ganjar's clothes matched the debate theme. Anies emphasized that normal safe foreign debt is no more than GDP. The debt used by the Minister of Defense to buy used defense equipment is a waste. Prabowo did not respond to the question of used defense equipment because if you buy new ones, the money spent is greater. re mazzinigsp"
TXT0003,kikidaliyo ganjar pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yg baik buat kita semua hebat happy new year,kikidaliyo ganjar pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yang baik buat kita semua hebat happy new year,kikidaliyo ganjar pranowo that's the figure who glorifies the values ​​of pancasila and provides a lot of good awareness for all of us great happy new year
TXT0004,prabowo gibran yang bisa melakukan itu semua demi kesejahteraan rakyat,prabowo gibran yang bisa melakukan itu semua demi kesejahteraan rakyat,Prabowo Gibran who can do all that for the welfare of the people
TXT0005,lah justru yg gak nyambung junjungan elu aomkmkmkmk ngomongin etika tapi ngatain pak anies omon omon sambil nyenyek tuh gimana pak anies masih sopan lho gak ngakak brutal atau pasang wajah mengejek waktu dia asbun hutang atau nyuruh belajar ekonomi lagi,lah justru yang enggak menyambung junjungan lu aomkmkmkmk mengomongkan etika tapi mengatai pak anies omon omon sambil nyenyek tuh bagaimana pak anies masih sopan lho enggak mengakak brutal atau pasang wajah mengejek waktu dia asbun hutang atau nyuruh belajar ekonomi lagi,"It's actually the one who doesn't connect with your lord, aomkmkmkmk, talking about ethics, but calling Mr. Anies a bitch while making fun of you, how can Mr. Anies still be polite, you know, he doesn't laugh brutally or put on a mocking face when he pays off his debts or tells him to study economics again."
TXT0006,nelayan tak bisa terus terjebak dalam kredit macet oleh karena itu ganjar pranowo mahfud md bersama kita buka pintu kebebasan,nelayan tak bisa terus terjebak dalam kredit macet oleh karena itu ganjar pranowo mahfud md bersama kita buka pintu kebebasan,"Fishermen cannot continue to be trapped in bad debts, therefore Ganjar Pranowo Mahfud MD, together we open the door to freedom"
TXT0007,prabowo anti kebebasan pers,prabowo anti kebebasan pers,Prabowo is against press freedom
TXT0008,kontrak terbuka ganjar pranowo adalah cermin dari kepedulian untuk kita semua yuk bersama jaga kedaulatan pangan,kontrak terbuka ganjar pranowo adalah cermin dari kepedulian untuk kita semua yuk bersama jaga kedaulatan pangan,"Ganjar Pranowo's open contract is a reflection of our concern for all of us, let's work together to protect food sovereignty"
TXT0009,ganjar mahfud hebat pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika ganjar mahfud hebat,ganjar mahfud hebat pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika ganjar mahfud hebat,"Ganjar Mahfud is great, Mr. Ganjar always upholds tolerance and implements the motto of Bhinneka Tunggal Ika. Ganjar Mahfud is great."
TXT0010,ganjarmahfud adalah harapan baru untuk pertumbuhan ekonomi kita happy new year,ganjarmahfud adalah harapan baru untuk pertumbuhan ekonomi kita happy new year,ganjarmahfud is a new hope for our economic growth happy new year
